enzyme,treatment,mean_rate,sd_rate,n
AChE,bergamot,0.15880875820877483,0.06393209042443666,11
AChE,grapefruit,0.12647800359061467,0.06673612076096722,11
AChE,lemon,0.07243047611508283,0.02593049223605325,11
AChE,malaoxon,0.0035895955599605333,0.025123389503025118,11
AChE,mandarin,0.11756348966174025,0.04336446136767529,11
AChE,methanol,-0.0007828715323027688,0.027752217953818728,11
AChE,neroli,0.06671917972486392,0.037053884382124494,11
AChE,orange,0.044279852929217885,0.041466286574014806,11
BChE,bergamot,0.019726398067209498,0.0027644073677252547,11
BChE,grapefruit,0.014168407150485514,0.005297351972689072,11
BChE,lemon,0.00930907627185843,0.0060689550985180505,11
BChE,malaoxon,0.01861758674621742,0.003941643063655443,11
BChE,mandarin,0.011150236744519542,0.008649028802964295,11
BChE,methanol,0.030909563903896712,0.0037491070925633405,11
BChE,neroli,0.021370067505112212,0.0021362848555219935,11
BChE,orange,0.018240046714400757,0.0069763461772403765,11
